CFC,V9.0 + SP5 + Upd4,09.00.05.04_01.09.00.01,K9.0.5.4,
SIMATIC D7-SYS  ,V8.1,V8.1.0.0_1.84.0.2,V8.1.0.0,
Drive ES Basic Maintenance Shared Components,V5.6 + SP1,V05.06.01.00_00.00.01.72,V5.6.1.0,
Drive Monitor,V5.5 + SP2 + Upd1,V05.05.02.01_00.00.03.00,V05.05.02.01,
Drive Monitor Readme,V5.5 + SP2,V05.05.02.00_00.00.00.48,V5.5.2.0,
SIMATIC WinCC flexible Runtime,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
Automation License Manager Professional 2021,V6.0 + SP9 + Upd2,06.00.09.02_01.01.00.02,K6.0.9.2,
Drive ES MICROMASTER 4xx,V5.4 + SP4,V05.04.04.00_00.00.00.50,V05.04.04.00,
STEP 7-Micro/WIN,V4.0 ,4.0.9.25,4.0.9.25,
Drive ES MICROMASTER,V5.4,V05.04.00.00_00.00.00.59,V05.04.00.00,
Drive ES SIMADYN D,V5.4,V05.04.00.00_00.00.00.54,V05.04.00.00,
Drive ES SIPLINK,V5.4 + SP3,V05.04.03.00_00.00.00.10,V05.04.03.00,
Drive ES SIMOREG,V5.4 + SP3,V05.04.03.00_00.00.00.87,V05.04.03.00,
Drive ES SIMOVERT,V5.5,V05.05.00.00_00.00.01.75,V05.05.00.00,
S7-PLCSIM  ,V5.4 + SP8,V05.04.08.01_01.24.00.01,K5.4.8.1,
SIMATIC ProSave,V17.0,V17.00.00.00_43.02.00.01,V17.00.00.00,
SIMATIC ProTool,V6.0 + ServicePack 3,V6.0,V6.0.3.0,
Primary Setup Tool,V4.2 + HF1,K4.2.0.1_13.1.0.1,K4.2.0.1,
S7-200 Explorer,V2.0 ,2.0.0.27,2.0.0.27,
S7-200 PC Access,V1.0 ,1.0.0.56,1.0.0.56,
SIMATIC S7-Block Privacy Professional 2021,V1.0 + SP5,K1.0.5.0_7.1.0.1,K1.0.5.0,
S7 F ConfigurationPack,V5.5 + SP13 + Upd1,K5.5.13.1_1.1.0.2,K5.5.13.1,
SIMATIC S7-GRAPH Professional 2021,V5.7,V5.7.0.0_7.1.0.4,V5.7.0.0,
S7-PCT,V3.5 SP2 Upd3,K3.5.2.3_1.3.0.1,K3.5.2.3,
SIMATIC S7-SCL Professional 2021,V5.7,V5.7.0.0_6.1.0.1,V5.7.0.0,
SimoCom A,V05.05.02,---,V05.05.02,
SimoCom U,14.03.01,---,14.03.01,
SIMOTION SCOUT CamTool,V4.4.3.0,V04.04.03.00_05.40.71.00,V4.4.3.0,
SIMOTION Simulation,V5.1.0.1,V05.01.00.01_05.10.22.03,V5.1.0.1,
STEP 7 Professional 2021,V5.7,V5.7.0.0_12.1.0.2,V5.7.0.0,
TD Keypad Designer,V1.0 ,1.0.9.25,1.0.9.25,
SIMOTION SCOUT,V5.4.3.0,V05.04.03.00_05.40.71.00,V5.4.3.0,
SIMATIC S7-Web2PLC Professional 2021,V1.0 + SP3,K1.0.3.0_8.1.0.1,K1.0.3.0,
SIMATIC WinCC flexible,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
SIMATIC WinCC flexible,2008 SP5 Upd2,K01.05.00.02_01.06.00.27,K1.5.0.2,
AI S7 ADAPTER,9.0,09.00.05.04_01.09.00.01,---,
Automation Access Control Component,4.0,K04.00.01.00_01.01.00.01,---,
Automation Software Updater,02.05.0300,V02.05.03.00_01.01.00.29,---,
SIMATIC Colour Editor,5.2.2.0,K5.2.2.0_2.1.0.1,---,
CPU OM,5.4.3.0,V05.04.03.00_05.40.71.00,---,
dcblibv2_0_simotion4_1_1,2.0.25.0,V2.0.25.0,---,
dcblibv2_0_simotion4_1_2,2.0.115.0,V2.0.115.0,---,
dcblibv2_0_simotion4_1_4,2.0.113.0,V2.0.113.0,---,
dcblibv2_0_simotion4_1_5,2.0.43.0,V2.0.43.0,---,
dcblibv2_0_sinamics2_5_1,02.50.32.09,V02.50.32.09,---,
dcblibv2_0_sinamics2_6,02.60.55.00,V02.60.55.00,---,
dcblibv2_0_sinamics4_2,04.20.23.00,V04.20.23.00,---,
dcblibv2_0_sinamics4_3,04.30.21.02,V04.30.21.02,---,
dcblibv2_0_sinamics4_3_2,04.30.22.00,V04.30.22.00,---,
dcblibv3_0_simotion4_2,03.00.100.00,V03.00.100.00,---,
dcblibv3_0_sinamics4_4,04.40.09.00,V04.40.09.00,---,
dcblibv3_0_sinamics4_5,04.50.06.00,V04.50.06.00,---,
dcblibv3_0_sinamics4_6,04.60.07.00,V04.60.07.00,---,
dcblibv3_0_sinamics4_7,04.70.08.00,V04.70.08.00,---,
dcblibv3_0_sinamics4_8,04.80.11.00,V04.80.11.00,---,
dcblibv3_0_sinamics5_1,05.10.05.00,V05.10.05.00,---,
dcblibv3_0_sinamics5_1_1,05.10.08.00,V05.10.08.00,---,
dcblibv4_0_simotion4_3,04.00.183.00,V04.00.183.00,---,
dcblibv4_0_simotion4_4,04.00.05.00,V04.00.05.00,---,
dcblibv4_1_simotion4_5,04.01.44.00,V04.01.44.00,---,
DCC-Editor SIMOTION Shared,3.4.3.0,V03.04.03.00_05.40.71.00,---,
DCC-Editor SINAMICS Shared,3.4.2.1,V03.04.02.01_05.40.64.02,---,
DCC-Help System Shared,3.4.2.1,V03.04.02.01_05.40.64.02,---,
Drive ES DriveConverter,5.4.3.0,V05.04.03.00_00.00.00.26,---,
Drive ES DriveOM,6.4.2.1,V06.04.02.01_05.40.64.02,---,
Drive ES SlaveOM,6.4.2.1,V06.04.02.01_05.40.64.02,---,
Drive ES USSParam,5.5.1.0,V05.05.01.00_00.00.00.95,---,
SIMATIC ES Common Services,9.0,09.00.05.04_01.09.00.01,---,
SIMATIC HMIProvider,7.0,K07.00.03.00_01.01.00.01,---,
SIMATIC L7-SiS,4.2.5.0,K4.2.5.0_1.7.0.3,---,
SIMATIC Technology CPU,4.2.5.0,K4.2.5.0_1.7.0.3,---,
License Logon Interface,4.0,K04.00.03.00_01.01.00.02,---,
MCFastIO,5.4.3.0,V05.04.03.00_05.40.71.00,---,
SIEMENS OPC,3.9,03.09.11.01_01.01.00.02,---,
SIMATIC HMI ProSave,17.0.0.1,V17.00.00.01_07.01.00.01,---,
SIMATIC HMI Symbol Library,17.0.0.4,V17.00.00.04_04.01.00.01,---,
SIMATIC HMI Touch Input,17.0.0.4,V17.00.00.04_04.01.00.01,---,
SIMATIC Version View,1.7.12.0,K1.7.12.0_1.1.0.1,---,
SIMATIC Common Services,5.3.15.0,K5.3.15.0_1.1.0.1,---,
SIMATIC Device Drivers WoW,29.3,29.03.01.00_01.01.00.12,---,
SIMATIC Event Database,5.6,05.06.02.02_01.01.00.01,---,
SIMATIC GRAPH-Visualisierung,5.2.4.0,K5.2.4.0_1.1.0.1,---,
SIMATIC GSD CONTROL,3.5.7.0,K3.5.7.0_2.1.0.1,---,
SIMATIC GSD Interpreter,2.10.0.0,V2.10.0.0_7.1.0.1,---,
SIMATIC Interface Editor,5.4.24.0,K5.4.24.0_1.1.0.1,---,
SIMATIC Extended Interfaces,5.7.0.0,V5.7.0.0_5.1.0.1,---,
SIMATIC LanguageSupportTool,5.8.4.0,K5.8.4.0_2.1.0.1,---,
SIMATIC Condition Editor,5.6.2.0,K5.6.2.0_1.1.0.1,---,
SIMATIC NCM,5.7.0.0,V5.7.0.0_12.1.0.2,---,
SIMATIC Process Diagnosis Base,5.7.0.1,K5.7.0.1_4.1.0.1,---,
SIMATIC Process Diagnosis Database,5.7.0.0,V5.7.0.0_5.1.0.1,---,
SIMATIC DIAGNOSTIC REPEATER GUI CTRL,5.2.3.0,K5.2.3.0_1.1.0.1,---,
SIMATIC Grid Control,3.0.1.0,K3.0.1.0_2.1.0.1,---,
SIMATIC S7-Status-OCX,5.3.14.0,K5.3.14.0_1.1.0.1,---,
SIMATIC Technological Parameter Assignment,5.3.12.0,K5.3.12.0_3.1.0.1,---,
SIMATIC X-Ref Control,5.2.10.0,K5.2.10.0_1.1.0.1,---,
SIMATIC STEP 7 Help Viewer,1.0.6.0,K1.0.6.0_4.1.0.1,---,
SIMATIC SCL Compiler,5.7.0.0,V5.7.0.0_4.1.0.1,---,
SCOUT STARTER Components,5.4.2.1,V05.04.02.01_05.40.64.02,---,
SeCon,2.7,V02.07.02.00_01.01.00.04,---,
SIMOSIM Driver,5.1.0.1,V05.01.00.01_05.10.22.03,---,
SIMOTION Browser Plugin for STDoc,5.4.3.0,V05.04.03.00_05.40.71.00,---,
SIMOTION DeviceOM,5.4.2.1,V05.04.02.01_05.40.64.02,---,
SIMOTION OM,5.4.2.1,V05.04.02.01_05.40.64.02,---,
SSP SIMOTION SINAMICS Int V2.6 SP2,02.62.20.00,V02.60.42.00_07.13.00.00,---,
SSP SIMOTION SINAMICS Int V4.4,04.40.20.00,V04.40.23.15_11.11.00.00,---,
SSP SIMOTION SINAMICS Int V4.5,04.50.21.01,V04.59.30.76_14.16.01.00,---,
SSP SIMOTION SINAMICS Int V4.7,04.70.10.06,V04.70.35.84_19.10.18.00,---,
SSP SIMOTION SINAMICS Int V4.8,04.80.21.02,V04.80.65.90_02.10.60.05,---,
SSP SIMOTION SINAMICS Int V5.1,05.10.11.01,V05.10.23.03_02.50.13.01,---,
SSP SIMOTION SINAMICS Int V5.2,06.05.03.00,V05.20.28.00_06.50.21.00,---,
SSP SIMOTION SINAMICS Int V5.2 SP3,07.01.01.00,V05.20.73.00_07.10.10.00,---,
SSP SINAMICS DCM V1.1,01.10.30.00,V01.10.40.00_11.00.00.00,---,
SSP SINAMICS DCM V1.2,01.20.30.00,V01.20.17.00_11.00.00.00,---,
SSP SINAMICS DCM V1.3,01.30.20.01,V01.30.11.00_11.11.02.00,---,
SSP SINAMICS DCM V1.4,01.40.11.01,V01.40.09.00_14.15.01.00,---,
SSP SINAMICS DCM V1.4 SP1,01.41.10.02,V01.40.20.02_19.48.02.00,---,
SSP SINAMICS DCM V1.5,06.03.00.02,V01.50.25.10_06.30.14.02,---,
SSP SINAMICS DCP V1.1,01.10.01.04,V01.10.08.06_19.22.05.00,---,
SSP SINAMICS DCP V1.2,01.20.01.02,V01.20.08.00_19.81.03.00,---,
SSP SINAMICS DCP V1.3,06.06.00.00,V01.30.15.00_06.60.14.00,---,
SSP SINAMICS G110D V3.3,03.30.20.00,V03.30.23.00_07.13.00.00,---,
SSP SINAMICS G110D V3.4,03.40.20.00,V03.40.08.00_07.13.00.00,---,
SSP SINAMICS G110D V3.6,03.60.10.00,V03.60.03.00_14.09.00.00,---,
SSP SINAMICS G110D V3.7,03.70.10.00,V03.70.00.00_02.20.01.00,---,
SSP SINAMICS G110M V4.6,04.60.10.06,V04.60.21.28_14.04.12.00,---,
SSP SINAMICS G110M V4.7,04.70.10.01,V04.70.35.00_19.13.01.00,---,
SSP SINAMICS G110M V4.7 SP10,06.01.00.01,V04.71.14.00_06.10.10.01,---,
SSP SINAMICS G110M V4.7 SP13,06.09.00.02,V04.71.52.00_06.90.11.03,---,
SSP SINAMICS G110M V4.7 SP3,04.73.10.00,V04.70.64.00_19.46.00.00,---,
SSP SINAMICS G110M V4.7 SP6,04.76.10.02,V04.70.83.00_19.66.06.00,---,
SSP SINAMICS G110M V4.7 SP9,04.79.10.02,V04.71.04.00_02.40.14.04,---,
SSP SINAMICS G120D V4.5,04.50.20.00,V04.50.30.01_14.00.00.00,---,
SSP SINAMICS G120P BT V4.4 SP1,04.41.20.02,V04.40.30.00_11.11.04.00,---,
SSP SINAMICS G120P BT V4.6,04.60.10.01,V04.60.21.03_14.04.02.00,---,
SSP SINAMICS G120P BT V4.7,04.70.10.00,V04.70.35.00_19.10.00.00,---,
SSP SINAMICS G120P BT V4.7 SP10,06.01.00.00,V04.71.14.00_06.10.10.00,---,
SSP SINAMICS G120P BT V4.7 SP13,06.09.00.02,V04.71.52.00_06.90.11.03,---,
SSP SINAMICS G120P BT V4.7 SP3,04.73.10.00,V04.70.64.00_19.46.00.00,---,
SSP SINAMICS G120P BT V4.7 SP6,04.76.10.02,V04.70.83.00_19.66.06.00,---,
SSP SINAMICS G120P BT V4.7 SP9,04.79.10.02,V04.71.04.00_02.40.14.04,---,
SSP SINAMICS G120 CU250S VECTOR V4.6,04.60.11.00,V04.60.21.03_14.13.00.00,---,
SSP SINAMICS G120 V3.2 SP2,03.22.20.00,V03.22.02.00_07.13.00.00,---,
SSP SINAMICS G120 V4.2,04.20.20.00,V04.20.07.00_07.13.00.00,---,
SSP SINAMICS G120 V4.3,04.30.20.00,V04.30.13.00_07.13.00.00,---,
SSP SINAMICS G120 V4.3 SP2,04.32.20.00,V04.30.28.00_07.13.00.00,---,
SSP SINAMICS G120 V4.4,04.40.20.00,V04.40.23.15_11.00.00.00,---,
SSP SINAMICS G120 V4.5,04.50.20.00,V04.50.30.01_14.00.00.00,---,
SSP SINAMICS G120 V4.6,04.60.11.00,V04.60.21.00_14.12.00.00,---,
SSP SINAMICS G120 V4.7,04.70.10.00,V04.70.35.00_19.10.00.00,---,
SSP SINAMICS G120 V4.7 SP10,06.01.00.01,V04.71.14.00_06.10.10.01,---,
SSP SINAMICS G120 V4.7 SP13,06.09.00.02,V04.71.52.00_06.90.11.03,---,
SSP SINAMICS G120 V4.7 SP3,04.73.10.00,V04.70.64.00_19.46.00.00,---,
SSP SINAMICS G120 V4.7 SP6,04.76.10.02,V04.70.83.00_19.66.06.00,---,
SSP SINAMICS G120 V4.7 SP9,04.79.10.02,V04.71.04.00_02.40.14.04,---,
SSP SIMOTION SINAMICS SM150i V2.6 SP1,02.61.20.00,V02.60.35.00_07.13.00.00,---,
SSP SIMOTION SINAMICS SM150i V2.6 SP2,02.62.20.00,V02.60.42.00_07.13.00.00,---,
SSP SIMOTION SINAMICS SM150i V4.5,04.50.21.01,V04.59.30.76_14.16.01.00,---,
SSP SIMOTION SINAMICS SM150i V4.7,04.70.10.06,V04.70.35.84_19.10.18.00,---,
SSP SINAMICS MV V4.4 SP2,04.42.20.01,V04.40.35.00_11.11.05.00,---,
SSP SINAMICS MV V4.5,04.50.21.01,V04.59.30.76_14.16.01.00,---,
SSP SINAMICS MV V4.6,04.60.11.01,V04.60.21.00_14.12.01.00,---,
SSP SINAMICS MV V4.7,04.70.10.02,V04.72.32.90_19.17.02.00,---,
SSP SINAMICS MV V4.7 SP4,04.74.10.00,V04.72.44.00_19.38.00.00,---,
SSP SINAMICS MV V4.7 SP5,04.75.10.00,V04.72.68.00_19.77.00.00,---,
SSP SINAMICS MV V4.7 SP7,04.77.10.00,V04.72.78.00_02.20.18.00,---,
SSP SINAMICS MV V4.8 SP2,04.82.10.01,V04.82.53.04_02.10.96.01,---,
SSP SINAMICS MV V5.1 SP2,06.04.00.00,V05.12.22.00_06.40.10.00,---,
SSP SINAMICS MV V5.2 SP1,06.07.00.00,V05.22.11.00_06.70.09.00,---,
SSP SINAMICS MV V5.2 SP2,06.08.00.00,V05.22.27.00_06.80.22.00,---,
SSP SINAMICS MV V5.2 SP4,07.02.00.00,V05.22.43.00_07.20.13.00,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7,04.70.10.02,V04.70.35.82_19.10.10.00,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP10,06.01.00.00,V04.71.14.00_06.10.10.00,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP13,06.09.00.02,V04.71.52.00_06.90.11.03,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP3,04.73.10.01,V04.70.64.02_19.46.01.00,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP6,04.76.10.02,V04.70.83.00_19.66.06.00,---,
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP9,04.79.10.02,V04.71.04.00_02.40.14.04,---,
SSP SINAMICS V2.6 SP1,02.61.20.00,V02.60.35.00_07.13.00.00,---,
SSP SINAMICS V2.6 SP2,02.62.20.00,V02.60.42.00_07.13.00.00,---,
SSP SINAMICS S110 V4.1,04.10.20.00,V04.10.16.00_07.13.00.00,---,
SSP SINAMICS V4.3 SP1,04.31.20.01,V04.30.17.00_07.14.01.00,---,
SSP SINAMICS V4.3 SP2,04.32.20.01,V04.30.28.00_07.13.04.00,---,
SSP SINAMICS V4.4,04.40.22.00,V04.40.23.15_11.13.00.00,---,
SSP SINAMICS V4.4 SP3,04.43.10.00,V04.40.44.00_11.26.00.00,---,
SSP SINAMICS V4.5,04.50.21.01,V04.59.30.76_14.16.01.00,---,
SSP SINAMICS V4.6,04.60.11.01,V04.60.21.00_14.12.01.00,---,
SSP SINAMICS V4.7,04.70.10.06,V04.70.35.84_19.10.18.00,---,
SSP SINAMICS V4.8,04.80.21.02,V04.80.65.90_02.10.60.05,---,
SSP SINAMICS V5.1,05.10.10.03,V05.10.23.09_02.50.09.07,---,
SSP SINAMICS V5.1 SP1,06.02.00.02,V05.10.40.09_06.20.12.03,---,
SSP SINAMICS V5.2,06.05.03.00,V05.20.28.00_06.50.21.00,---,
SSP SINAMICS V5.2 SP3,07.01.00.02,V05.20.73.00_07.10.08.03,---,
Tagfile Server,5.4.3.0,V05.04.03.00_05.40.71.00,---,
SIMATIC SCS,K7.4.2.8,V07.04.02.08_01.02.00.03,---,
SIMATIC WinCC Common Archiving,K7.3.45.0,V07.03.45.00_01.13.00.01,---,
SIMATIC WinCC flexible OCX,1.5.0.2,K1.5.0.2_1.1.0.3,---,
SIMATIC WinCC flexible Simulator,1.8.3.7,K1.8.3.7_1.1.0.3,---,
SIMATIC WinCC flexible Tag Simulator,1.5.0.0,V1.5.0.0_1.11.0.6,---,
WinCC Runtime Advanced Simulator,17.0.0.0,V17.00.00.00_43.02.00.01,---,
