TimeStamp=---,-,-,-,-
Timex200ms,UpValue,DownValue,PercentUp,PercentDown
1,2304,2304,0,-3.10887350534928
2,2304,2304,0,-3.09628697293896
3,2288,2288,-0.0251730648206419,-3.09628697293896
4,2264,2264,-0.0629326620516048,-3.09628697293896
5,2240,2240,-0.100692259282568,-3.09628697293896
6,2208,2208,-0.151038388923851,-3.09628697293896
7,2184,2184,-0.188797986154814,-3.09628697293896
8,2160,2160,-0.226557583385777,-3.09628697293896
9,2136,2136,-0.26431718061674,-3.04594084329767
10,2112,2112,-0.302076777847703,-2.99559471365639
11,2088,2088,-0.339836375078666,-2.9452485840151
12,2064,2064,-0.377595972309629,-2.92007551919446
13,2032,2032,-0.427942101950913,-2.86972938955318
14,2008,2008,-0.465701699181875,-2.81938325991189
15,1984,1984,-0.503461296412838,-2.76903713027061
16,1960,1960,-0.541220893643801,-2.71869100062933
17,1936,1936,-0.578980490874764,-2.66834487098804
18,1912,1912,-0.616740088105727,-2.61799874134676
19,1880,1880,-0.667086217747011,-2.55506607929515
20,1856,1856,-0.704845814977974,-2.50471994965387
21,1840,1840,-0.730018879798615,-2.45437382001259
22,1808,1808,-0.780365009439899,-2.41661422278162
23,1784,1784,-0.818124606670862,-2.36626809314034
24,1752,1752,-0.868470736312146,-2.30333543108874
25,1728,1728,-0.906230333543109,-2.25298930144745
26,1696,1696,-0.956576463184393,-2.21522970421649
27,1672,1672,-0.994336060415356,-2.15229704216488
28,1640,1640,-1.04468219005664,-2.11453744493392
29,1616,1616,-1.0824417872876,-2.06419131529264
30,1584,1584,-1.13278791692889,-2.01384518565135
31,1560,1560,-1.17054751415985,-1.96349905601007
32,1528,1528,-1.22089364380113,-1.92573945877911
33,1496,1496,-1.27123977344242,-1.87539332913782
34,1472,1472,-1.30899937067338,-1.82504719949654
35,1440,1440,-1.35934550031466,-1.77470106985525
36,1408,1408,-1.40969162995595,-1.73694147262429
37,1376,1376,-1.46003775959723,-1.68659534298301
38,1352,1352,-1.49779735682819,-1.63624921334172
39,1320,1320,-1.54814348646948,-1.59848961611076
40,1296,1296,-1.58590308370044,-1.54814348646948
41,1264,1264,-1.63624921334172,-1.49779735682819
42,1232,1232,-1.68659534298301,-1.46003775959723
43,1208,1208,-1.72435494021397,-1.42227816236627
44,1176,1176,-1.77470106985525,-1.37193203272498
45,1144,1144,-1.82504719949654,-1.3215859030837
46,1120,1120,-1.8628067967275,-1.27123977344242
47,1088,1088,-1.91315292636879,-1.23348017621145
48,1056,1056,-1.96349905601007,-1.18313404657017
49,1032,1032,-2.00125865324103,-1.13278791692889
50,1000,1000,-2.05160478288232,-0.667086217747011
51,976,976,-2.08936438011328,-1.04468219005664
52,936,936,-2.15229704216488,-1.00692259282568
53,904,904,-2.20264317180617,-0.956576463184393
54,872,872,-2.25298930144745,-0.906230333543109
55,840,840,-2.30333543108874,-0.868470736312146
56,816,816,-2.3410950283197,-0.830711139081183
57,784,784,-2.39144115796098,-0.780365009439899
58,752,752,-2.44178728760227,-0.742605412208936
59,720,720,-2.49213341724355,-0.704845814977974
60,688,688,-2.54247954688483,-0.780365009439899
61,656,656,-2.59282567652612,-0.616740088105727
62,632,632,-2.63058527375708,-0.591567023285085
63,400,400,-2.99559471365639,-0.541220893643801
64,560,560,-2.74386406544997,-0.503461296412838
65,528,528,-2.79421019509125,-0.465701699181875
66,496,496,-2.84455632473254,-0.427942101950913
67,464,464,-2.89490245437382,-0.39018250471995
68,432,432,-2.9452485840151,-0.339836375078666
69,400,400,-2.99559471365639,-0.302076777847703
70,368,368,-3.04594084329767,-0.276903713027061
71,344,344,-3.08370044052863,-0.226557583385777
72,336,336,-3.09628697293896,-0.201384518565135
73,336,336,-3.09628697293896,-0.151038388923851
74,336,336,-3.09628697293896,-0.113278791692889
75,336,336,-3.09628697293896,-0.0755191944619257
76,328,328,-3.10887350534928,-0.0251730648206419
77,328,328,-3.10887350534928,0
78,328,328,-3.10887350534928,0
79,328,328,-3.10887350534928,0
80,328,328,-3.10887350534928,0
81,328,328,-3.10887350534928,0
82,328,328,-3.10887350534928,0
83,328,328,-3.10887350534928,0
84,328,328,-3.10887350534928,0
85,328,328,-3.10887350534928,0
86,0,0,-3.62492133417244,0
87,0,0,-3.62492133417244,-3.62492133417244
88,0,0,-3.62492133417244,-3.62492133417244
89,0,0,-3.62492133417244,-3.62492133417244
90,0,0,-3.62492133417244,-3.62492133417244
91,0,0,-3.62492133417244,-3.62492133417244
92,0,0,-3.62492133417244,-3.62492133417244
93,0,0,-3.62492133417244,-3.62492133417244
94,0,0,-3.62492133417244,-3.62492133417244
95,0,0,-3.62492133417244,-3.62492133417244
96,0,0,-3.62492133417244,-3.62492133417244
97,0,0,-3.62492133417244,-3.62492133417244
98,0,0,-3.62492133417244,-3.62492133417244
99,0,0,-3.62492133417244,-3.62492133417244
100,0,0,-3.62492133417244,-3.62492133417244
